title,company,location,diploma_required,years_experience,url,posted_date,description
"Sr. Software Engineer II (Python, Backend)",NinjaTrader,"Chicago, IL",Bachelor's Degree,8+ years,https://www.indeed.com/viewjob?jk=c0d2762fcd5f6442&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not specified,"Disclaimer: Please be advised that the most accurate and up-to-date information about our open roles—including job descriptions, compensation, and benefits—can only be guaranteed on our official job board. For the latest listings and details, please visit: https://job-boards.greenhouse.io/ninjatrader.

JOIN US ON OUR MISSION TO BECOME THE #1 RETAIL TRADING PLATFORM IN THE WORLD

Welcome to the dynamic world of NinjaTrader! As an industry-leading trading platform and futures broker, we're empower"
GenAI Python Systems Engineer – Senior Associate,PRICE WATERHOUSE COOPERS,"Chicago, IL",Bachelor's Degree,3+ years,https://www.indeed.com/viewjob?jk=3280027fa20bd02a&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not specified,"At PwC, our people in data and analytics engineering focus on leveraging advanced technologies and techniques to design and develop robust data solutions for clients. They play a crucial role in transforming raw data into actionable insights, enabling informed decision-making and driving business growth. In data engineering at PwC, you will focus on designing and building data infrastructure and systems to enable efficient data processing and analysis. You will be responsible for developing and "
Python Strategy Implementation Developer,Avatar Securities,"Chicago, IL",Bachelor's Degree,Not specified,https://www.indeed.com/viewjob?jk=11987acaa54b82b5&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not specified,"Seeking a strong Python developer with solid market structure experience. Previous experience in a trading environment is highly preferred. Required to have a deep understanding of the following:
• Equities OMS Experience
• Order Routing and Order Management Logic
• Order Marking Logic
• Risk Management Logic
• Transaction Cost Analysis

It is a bonus for the candidate to have strong communication skills, basic C++ knowledge, and previous program trading experience.


Qualifications:
• Seeking a"
"Senior Software Engineer, Python (Chicago)",Fitch Group,"Chicago, IL",Bachelor's Degree,7+ years,https://careers.fitch.group/job/Chicago-Senior-Software-Engineer%2C-Python-%28Chicago%29-IL-60290/1225505901/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not specified,"Senior Software Engineer, Python Programmer

Fitch Ratings is currently seeking a Senior Software Engineer specializing in Python Programming or applications to join our team in Chicago. In this role, you will support the development and delivery of applications based on Python and AWS, Azure cloud platform. You will collaborate with dynamic teams committed to maintaining high standards of quality, performance, and scalability for Fitch’s Ratings workflow systems. If you are passionate about inn"
Software Engineer - Python Development,Thermo Fisher Scientific,"Madison, WI (+2 others)",Bachelor's Degree,3+ years,https://jobs.thermofisher.com/cn/zh/job/R-01327667/Software-Engineer-Python-Development?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not specified,"Work Schedule
Standard Office Hours (40/wk)

Environmental Conditions
Office

Job Description

Are you ready to be part of a team that is at the forefront of technological innovation? Thermo Fisher Scientific Inc. is seeking a Python / IoT Development Engineer to join our ambitious team in the United States. This is an outstanding opportunity to work within a world-class organization that is committed to making the world healthier, cleaner, and safer. As part of our team, you will collaborate wi"
"Technical Operations Analyst with Python, Electronic Trading Systems Preferred - Work From Home",Ginas Tech Jobs,Anywhere,Bachelor's Degree,Not specified,"https://www.ziprecruiter.com/c/Ginas-Tech-Jobs/Job/Technical-Operations-Analyst-with-Python,-Electronic-Trading-Systems-Preferred-Work-From-Home/-in-Chicago,IL?jid=123f04630365cf8c&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",Not specified,"Company Description

Job Description

Technical Operations Analyst with Python, Electronic Trading Systems Preferred - Work From Home

We are currently looking for a Technical Operations Analyst for a great opportunity. The company is a proprietary trading firm with employees in the Netherlands, UK and US. The company participates in a wide variety of marketplaces including global futures, equities, commodities, options, fixed income, and cryptocurrencies. Their culture emphasizes teamwork and f"
Linux Engineer - Python Automation,Op Recruiting,"Chicago, IL",Bachelor's Degree,5+ years,https://www.oprecruiting.com/job-details/linux-engineer-python-automation-in-trading-jobs-1173275?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not specified,"Linux Engineer (Python Automation Focus)

Our client, a technology-driven trading firm, is seeking a Linux Engineer with strong Python expertise to automate and optimize their Linux server infrastructure. This role is critical to managing and enhancing a large-scale, mission-critical Linux environment that supports high-performance trading and development systems. The ideal candidate will leverage automation, self-service tools, and modern infrastructure methodologies to ensure system stability,"
Python Engineer / Hybrid in Chicago / Django / AWS,Motion Recruitment,Anywhere,Bachelor's Degree,4+ years,https://www.tealhq.com/job/python-engineer-hybrid-in-chicago-django-aws_e5d65b2e-9ef0-4664-a0d9-45a26bc98ac2?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not specified,"About the position

Responsibilities
• Build custom software applications using Python and Django.
• Write clean and efficient code for backend systems.
• Collaborate with a global team on various projects.
• Contribute to the development of digital solutions that solve real-world challenges.

Requirements
• Bachelor's Degree in Computer Science or equivalent.
• 4+ years of experience with Python using Django.
• 3+ years working in an AWS environment with Lambdas and EKS.

Nice-to-haves
• Health"
"Lead Platform Engineer (Global Payment Network - Palo Alto, Security, Python, AWS, Terraform, Ansible)",Capital One,"Chicago, IL (+2 others)",Bachelor's Degree,6+ years,https://www.capitalonecareers.com/job/chicago/lead-platform-engineer-global-payment-network-palo-alto-security-python-aws-terraform-ansible/1732/88427117216?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not specified,"Lead Platform Engineer (Global Payment Network - Palo Alto, Security, Python, AWS, Terraform, Ansible)

Do you love building and pioneering in the technology space? Do you enjoy solving complex technical problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who love to solve real problems and meet real customer needs. We are seeking Platform Engineers who are passionate abou"
"Software Engineer, Python",Fern,United States,Bachelor's Degree,3+ years,https://jobs.ashbyhq.com/buildwithfern/cb006a48-8970-4267-8974-bd40f932a181?weekdayJdUid=886848&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,Not specified,"About Fern:

At Fern, we believe every software company should offer a world-class API. We're building the toolkit to make that possible. We enable customers like Square, ElevenLabs, Webflow, and Intercom to offer a best-in-class developer (DX) and agent experiences (AX).

Our team is primarily ex-Palantir and ex-founders, working together from our office in Williamsburg, Brooklyn. We give builders the autonomy to take ownership, the speed to move quickly, and the support to do the best work of "
